FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,6,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,7,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,8,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,9,TRUE
11026,Park Road,BAU,,4C,Teller Fixture (base),Teller,Small Teller,10,TRUE
11026,Park Road,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,FALSE
